timestamp_ns,device,channel,sensor_type,differential,voltage
1765400101797405952,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797412096,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797420032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797442048,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797452032,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797457920,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797465088,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797472000,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797478912,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797485056,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797491968,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797498112,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797505024,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797511936,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797518080,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797524992,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797531904,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797538048,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797544960,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797552128,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797558016,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797564928,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797572096,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797577984,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797584896,T7,AIN2,Voltage,true,-0.01138623058795929
1765400101797592064,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797597952,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797605120,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797611008,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797617920,T7,AIN2,Voltage,true,-0.01170162484049797
1765400101797624064,T7,AIN2,Voltage,true,-0.012332413345575333
1765400101797630976,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797637888,T7,AIN2,Voltage,true,-0.012647808529436588
1765400101797644032,T7,AIN2,Voltage,true,-0.012017019093036652
1765400101797649920,T7,AIN2,Voltage,true,-0.01170162484049797
